,feature,id,metric_accuracy_score,metric_auc,metric_confusion_matrix,metric_f1_score,metric_log_loss,metric_matthews_corrcoef,metric_precision_score,metric_recall_score,metric_roc_auc_score,metric_roc_curve,model,noise,params,path,time_to_build_and_train_model,time_to_build_feature,time_to_make_prediction
202,DecreasingFactor,72014705-05b8-472b-b293-339c5cd24745,0.9565178168696437,1290.0,"[[  164  1167] [  761 42248]]",0.977691382023512,1.501842445186939,0.12598520025464596,0.973119889439134,0.9823060289706805,0.5527608281592696,"(array([0.        , 0.87678437, 1.        ]), array([0.        , 0.98230603, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.1,{'minDecreasingFactor': 0.7},BPI_15_5.csv,0.0008680820465087891,0.0840158462524414,0.0018558502197265625
203,DecreasingFactor,d59eeb93-3a6b-42eb-a978-ae023c2f7ebd,0.9422519007603041,1524.0,"[[  181  1565] [  744 37494]]",0.9701282067868094,1.994579983639132,0.11447057969100832,0.959932409943931,0.9805429154244469,0.5421042183078707,"(array([0.        , 0.89633448, 1.        ]), array([0.        , 0.98054292, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.2,{'minDecreasingFactor': 0.4},BPI_15_5.csv,0.0010318756103515625,0.07599687576293945,0.002185821533203125
204,DecreasingFactor,240b62f3-b00b-4e8c-8618-16be6ac2fca6,0.9422519007603041,1524.0,"[[  181  1565] [  744 37494]]",0.9701282067868094,1.994579983639132,0.11447057969100832,0.959932409943931,0.9805429154244469,0.5421042183078707,"(array([0.        , 0.89633448, 1.        ]), array([0.        , 0.98054292, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.2,{'minDecreasingFactor': 0.45},BPI_15_5.csv,0.0015559196472167969,0.09037184715270996,0.0031201839447021484
205,DecreasingFactor,0325a322-3de4-439d-8986-6084255c9a35,0.9422519007603041,1524.0,"[[  181  1565] [  744 37494]]",0.9701282067868094,1.994579983639132,0.11447057969100832,0.959932409943931,0.9805429154244469,0.5421042183078707,"(array([0.        , 0.89633448, 1.        ]), array([0.        , 0.98054292, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.2,{'minDecreasingFactor': 0.5},BPI_15_5.csv,0.0017840862274169922,0.10402321815490723,0.002404928207397461
206,DecreasingFactor,a16afd37-c982-4903-a864-ab6c42f41eb9,0.9422519007603041,1524.0,"[[  181  1565] [  744 37494]]",0.9701282067868094,1.994579983639132,0.11447057969100832,0.959932409943931,0.9805429154244469,0.5421042183078707,"(array([0.        , 0.89633448, 1.        ]), array([0.        , 0.98054292, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.2,{'minDecreasingFactor': 0.55},BPI_15_5.csv,0.005234956741333008,0.05325484275817871,0.008610010147094727
207,DecreasingFactor,88d079c1-d1fd-4f20-9454-b6767aeab089,0.9560574229691877,1095.0,"[[  149   981] [  776 38078]]",0.9774492061658517,1.517742460257531,0.12333950487867895,0.974884149619806,0.9800277963658826,0.5559431017227643,"(array([0.        , 0.86814159, 1.        ]), array([0.       , 0.9800278, 1.       ]), array([2, 1, 0]))",FrequencyBased,0.2,{'minDecreasingFactor': 0.6},BPI_15_5.csv,0.0018339157104492188,0.12905001640319824,0.0044422149658203125
208,DecreasingFactor,fec3235a-c087-4a3d-a84a-f0c239a4714c,0.9560574229691877,1095.0,"[[  149   981] [  776 38078]]",0.9774492061658517,1.517742460257531,0.12333950487867895,0.974884149619806,0.9800277963658826,0.5559431017227643,"(array([0.        , 0.86814159, 1.        ]), array([0.       , 0.9800278, 1.       ]), array([2, 1, 0]))",FrequencyBased,0.2,{'minDecreasingFactor': 0.65},BPI_15_5.csv,0.0007989406585693359,0.05734705924987793,0.0016140937805175781
209,DecreasingFactor,6fb59135-5b21-4e86-9613-844e8df0d29f,0.9560574229691877,1095.0,"[[  149   981] [  776 38078]]",0.9774492061658517,1.517742460257531,0.12333950487867895,0.974884149619806,0.9800277963658826,0.5559431017227643,"(array([0.        , 0.86814159, 1.        ]), array([0.       , 0.9800278, 1.       ]), array([2, 1, 0]))",FrequencyBased,0.2,{'minDecreasingFactor': 0.7},BPI_15_5.csv,0.0010771751403808594,0.0744791030883789,0.0018486976623535156
210,DecreasingFactor,ca39a552-20cc-4562-87f6-e202d3000d00,0.9055648339902466,53750.5,"[[ 24286  41486] [   922 382376]]",0.9474602309331484,3.261748951064113,0.5634869343406536,0.9021238044457865,0.9975945608899603,0.6834199162170412,"(array([0.        , 0.63075473, 1.        ]), array([0.        , 0.99759456, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.0,{'minDecreasingFactor': 0.4},BPI_17.csv,0.0010218620300292969,0.6458559036254883,0.015502214431762695
211,DecreasingFactor,89c7f35e-689c-4400-867b-d4811ea54204,0.9628543434208475,24165.5,"[[ 19515  10988] [  5693 412874]]",0.9801989247758565,1.282985091455828,0.6844881846082339,0.9740764682844888,0.9863988322060745,0.8130859846372798,"(array([0.        , 0.36022686, 1.        ]), array([0.        , 0.98639883, 1.        ]), array([2, 1, 0]))",FrequencyBased,0.0,{'minDecreasingFactor': 0.45},BPI_17.csv,0.0010249614715576172,0.5039701461791992,0.013802051544189453
